name,age,nationality,height_cm,weight_kgs,body_type,positions,acceleration,sprint_speed,agility,dribbling,ball_control,short_passing,long_passing,vision,finishing,positioning,interceptions,standing_tackle,sliding_tackle,strength,stamina,crossing,heading_accuracy,volleys,curve,freekick_accuracy,shot_power,jumping,long_shots,aggression,marking,reactions,balance,composure,penalties,overall_rating,potential,value_euro,wage_euro,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),potential_level,growth_index,strength_index,attacking_score,midfield_score,defensive_score,recommended_role
Edu Ramos,27,Spain,152.4,67.1,Normal,"CDM,CM",65,67,73,56,68,77,73,64,46,56,66,68,62,69,74,57,34,37,48,53,66,54,52,61,62,63,74,58,48,69,72,1100000.0,5000.0,1,3,2,Medium,3,63.4,56.0,72.0,66.25,Midfielder
K. Papadopoulos,27,Greece,185.42,87.1,Stocky,CB,58,55,53,40,52,53,50,44,24,35,64,80,79,90,52,44,87,44,40,43,68,91,58,92,75,68,60,60,46,77,79,9000000.0,15000.0,2,3,2,Medium,2,42.6,41.75,49.75,78.25,Defender
R. Jansson,27,Sweden,187.96,87.1,Normal,"CB,LB",60,62,54,55,59,66,62,47,24,37,65,65,67,79,57,40,64,33,37,20,32,53,28,60,64,53,54,59,35,66,69,675000.0,3000.0,1,3,2,Medium,3,49.8,37.0,58.0,69.0,Defender
M. Torsiglieri,31,Argentina,190.5,86.2,Normal,CB,36,42,37,42,52,67,66,54,35,42,65,68,69,90,62,50,76,38,52,46,58,60,32,75,73,67,33,64,56,71,71,1800000.0,10000.0,1,3,2,Medium,0,52.0,44.25,62.25,73.0,Defender
J. Bellegarde,20,France,170.18,66.2,Normal,"CDM,CM,RM",70,68,83,66,66,65,63,68,45,63,62,64,59,50,67,55,55,39,46,38,58,58,47,60,63,63,83,62,35,64,77,775000.0,2000.0,1,3,3,Medium,13,62.2,58.0,65.75,58.75,Midfielder
Gabriel Brazão,18,Brazil,190.5,78.0,Normal,GK,24,31,29,10,13,25,26,34,6,7,11,11,11,61,21,12,13,6,13,12,21,34,6,18,12,55,26,27,18,60,78,325000.0,1000.0,1,3,1,Medium,18,19.2,11.0,26.5,23.5,Midfielder
I. Djuric,30,Switzerland,154.94,77.1,Normal,CB,66,72,65,42,48,50,63,46,33,21,55,64,61,68,60,49,67,33,44,35,58,55,41,57,65,67,66,55,42,63,63,290000.0,2000.0,1,3,2,Low,0,46.2,38.5,54.75,62.0,Defender
C. Dawson,28,England,187.96,82.1,Normal,"CB,RB",62,65,62,55,67,65,60,51,49,56,76,76,75,77,81,68,81,20,45,24,57,83,14,76,76,70,50,68,66,76,76,6000000.0,32000.0,2,2,2,Medium,0,60.2,54.25,64.25,76.0,Defender
T. Agyepong,23,Ghana,170.18,73.0,Normal,"LM,RM",87,91,78,68,66,57,50,64,53,58,25,29,43,60,71,57,48,53,60,50,64,60,41,40,31,61,83,62,54,66,73,900000.0,2000.0,1,3,4,Medium,7,62.6,60.75,60.5,39.25,Attacker
M. Samuelsen,21,Norway,187.96,72.1,Lean,"RM,LM,CAM",74,76,77,75,73,61,51,65,49,56,22,26,29,58,55,52,43,40,47,60,66,39,55,31,32,57,64,60,50,65,76,925000.0,12000.0,1,4,4,Medium,11,61.0,61.5,58.0,33.75,Attacker
B. Mason,21,England,172.72,69.9,Lean,LB,80,83,65,63,64,59,53,59,37,68,59,65,64,55,73,63,36,34,44,48,44,61,38,64,64,49,73,60,43,65,76,800000.0,2000.0,1,2,3,Medium,11,58.2,53.0,61.0,60.75,Midfielder
A. Traustason,25,Iceland,154.94,77.1,Normal,"CAM,CM",76,80,78,69,67,65,59,64,64,67,67,55,53,63,87,67,43,69,71,66,71,52,71,71,55,65,73,64,57,68,71,1100000.0,3000.0,1,3,3,Medium,3,69.8,67.75,68.75,59.5,Midfielder
Juan Hernández,24,Spain,152.4,72.1,Lean,"RM,ST",67,64,57,65,63,59,68,56,68,66,17,23,26,50,47,54,36,41,44,55,55,45,56,28,24,62,71,55,50,63,69,500000.0,4000.0,1,3,3,Medium,6,59.0,63.5,57.5,29.0,Attacker
Song Bum Keun,21,Korea Republic,193.04,88.0,Normal,GK,24,27,29,15,19,14,25,54,17,17,11,13,12,40,22,12,18,16,11,13,18,31,16,23,23,61,24,58,15,64,75,600000.0,1000.0,1,2,1,Medium,11,24.4,16.75,28.75,19.0,Midfielder
L. Mosquera,29,Colombia,175.26,68.0,Lean,LB,66,70,67,56,62,62,57,62,55,63,63,63,59,64,76,66,56,47,73,71,67,67,68,66,65,62,70,55,66,65,65,400000.0,1000.0,1,3,2,Low,0,62.2,60.25,64.25,62.25,Midfielder
P. Sisniega,23,Mexico,193.04,78.9,Normal,GK,41,48,45,24,35,33,46,31,11,7,18,23,22,61,39,20,21,14,27,21,52,60,18,24,10,58,32,46,23,66,73,675000.0,2000.0,1,2,1,Medium,7,27.6,23.5,37.25,31.0,Midfielder
Hélder Ferreira,21,Portugal,154.94,69.9,Lean,RM,74,75,69,70,70,67,65,64,66,67,20,26,35,56,54,72,45,52,68,41,74,67,72,45,30,62,68,64,62,69,76,1500000.0,4000.0,1,3,3,Medium,7,64.2,69.25,62.5,34.25,Attacker
M. Shinada,19,Japan,154.94,66.2,Lean,"CM,CAM,CDM",67,64,61,58,59,64,61,51,31,56,41,46,41,42,54,41,44,32,46,43,51,57,38,54,51,49,66,40,39,56,71,180000.0,1000.0,1,3,2,Medium,15,51.6,49.0,57.5,42.5,Midfielder
J. Ramaré,34,France,154.94,73.9,Normal,"CDM,CM",37,38,70,62,66,73,67,69,40,50,71,68,62,69,80,63,44,48,58,56,57,89,49,61,66,63,71,78,46,69,69,325000.0,3000.0,1,3,2,Medium,0,64.8,52.25,72.25,67.5,Midfielder
M. Nakamba,25,Zimbabwe,175.26,78.9,Normal,"CDM,CM",78,75,78,71,71,73,73,66,36,55,76,78,76,80,90,46,55,41,45,37,80,78,54,86,80,74,78,71,38,77,81,10000000.0,19000.0,1,2,3,Medium,4,67.2,60.5,75.5,77.5,Defender
A. Mabil,23,Australia,152.4,73.0,Lean,RW,93,92,85,75,73,62,47,57,59,65,25,23,20,46,68,68,33,48,62,60,60,56,44,35,37,65,72,60,53,70,78,2600000.0,12000.0,1,3,4,Medium,8,64.2,64.75,58.5,28.5,Attacker
A. Rossi,23,Argentina,193.04,94.8,Normal,GK,44,45,36,19,21,29,24,31,12,17,25,19,16,71,31,16,18,15,17,21,24,61,20,22,22,76,37,48,22,74,82,6000000.0,12000.0,1,2,1,High,8,24.4,18.0,28.75,32.75,Defender
J. Pritchard,22,England,175.26,66.2,Lean,"CM,RM,LM",65,61,65,54,58,64,59,56,50,53,51,53,48,49,37,49,48,52,60,50,61,54,50,32,55,56,69,52,56,57,67,170000.0,1000.0,1,3,2,Low,10,52.2,54.5,54.0,50.25,Attacker
S. Jovanović,25,Serbia,182.88,79.8,Normal,"LM,ST",76,74,67,66,64,58,48,61,53,60,25,31,25,60,65,63,37,41,41,33,50,47,40,27,36,53,63,53,54,63,66,475000.0,3000.0,1,4,3,Low,3,60.6,57.25,58.0,35.25,Midfielder
L. Sánchez,32,Argentina,190.5,84.8,Normal,CB,36,30,33,40,43,43,38,29,28,27,65,72,68,90,49,34,72,33,36,29,56,31,22,66,70,68,33,50,47,68,68,600000.0,5000.0,1,3,2,Medium,0,37.8,37.75,39.75,73.75,Defender
T. Hernández,21,France,182.88,82.1,Normal,LB,90,90,76,78,72,76,52,47,50,58,69,76,79,79,75,75,72,62,63,64,75,62,56,75,72,66,61,65,41,77,85,11000000.0,76000.0,1,3,3,High,8,65.2,65.25,62.5,75.75,Defender
E. Caicedo,23,Colombia,185.42,78.9,Normal,CB,49,38,56,28,58,40,35,30,30,31,64,63,66,82,67,22,70,25,30,47,62,68,37,54,70,70,50,49,40,66,74,825000.0,1000.0,1,3,2,Medium,8,39.0,37.75,43.0,68.75,Defender
Z. Bergdich,30,Morocco,152.4,68.9,Normal,"LB,LW,RW",85,81,77,68,69,65,58,59,46,67,65,71,69,79,59,61,64,38,75,46,74,86,39,60,63,57,74,61,44,68,68,675000.0,3000.0,1,2,3,Medium,0,59.4,63.75,60.25,71.0,Defender
M. Meli,26,Argentina,152.4,69.9,Normal,"CM,RM",81,84,80,66,70,73,66,70,58,66,71,68,66,68,93,59,64,55,62,40,71,79,61,77,62,74,75,65,49,72,75,3800000.0,15000.0,1,3,3,Medium,3,72.0,65.25,75.5,68.25,Midfielder
A. Wildig,26,England,175.26,73.0,Normal,"CAM,CDM,CM",72,70,80,64,63,66,59,66,59,60,29,54,46,63,72,58,38,57,54,45,58,75,56,39,41,62,80,62,49,65,66,625000.0,3000.0,1,3,3,Low,1,65.4,60.25,65.75,48.0,Midfielder
Willy,30,Spain,185.42,77.1,Normal,"ST,LM",68,69,57,61,58,59,40,50,66,65,13,15,22,70,64,55,64,58,43,36,63,69,61,79,26,63,59,59,69,65,65,550000.0,2000.0,1,3,2,Low,0,60.0,63.75,53.25,30.0,Attacker
N. Leemhuis,21,Netherlands,152.4,66.2,Normal,"CM,CDM",70,65,68,58,62,66,60,63,39,42,43,55,57,51,50,53,47,53,54,58,55,51,36,48,35,51,77,49,52,58,66,190000.0,1000.0,1,3,2,Low,8,55.2,48.5,59.75,51.5,Midfielder
Chechu Grana,24,Spain,190.5,82.1,Normal,GK,20,25,25,5,12,28,27,36,9,5,17,12,11,60,26,12,13,9,11,14,21,35,5,22,12,55,27,40,11,62,68,300000.0,1000.0,1,3,1,Medium,6,20.8,10.0,29.25,25.0,Midfielder
P. Tomczyk,20,Poland,182.88,76.2,Lean,ST,78,82,69,50,51,45,29,46,63,58,14,14,12,64,62,28,51,36,42,25,53,64,43,23,32,55,58,42,54,58,65,180000.0,1000.0,1,2,2,Low,7,53.2,56.0,45.5,26.0,Attacker
H. Belal,25,Saudi Arabia,185.42,73.9,Lean,"CDM,CB",52,52,48,50,58,61,54,52,34,37,62,62,57,70,71,44,55,36,29,28,51,74,55,67,60,56,70,50,37,62,66,325000.0,3000.0,1,3,2,Low,4,53.6,43.0,59.5,62.75,Defender
O. Karnezis,33,Greece,190.5,81.2,Normal,GK,44,34,45,15,23,22,36,47,16,10,23,15,24,66,33,19,24,14,11,11,22,64,18,18,20,75,49,60,21,78,78,6000000.0,44000.0,2,3,1,Medium,0,26.6,15.75,34.5,32.0,Midfielder
P. Diop,32,Senegal,152.4,77.1,Normal,"CDM,CM",50,54,64,63,76,74,73,65,57,59,79,77,75,88,76,58,73,67,70,69,82,79,71,89,73,75,68,73,61,77,77,5000000.0,22000.0,1,3,3,Medium,0,67.0,65.25,72.0,79.75,Defender
B. Barišić,26,Croatia,185.42,79.8,Lean,LB,77,80,70,69,71,70,67,59,45,64,65,73,74,73,71,80,68,37,76,31,58,69,42,63,66,59,74,67,38,72,75,3200000.0,30000.0,1,3,3,Medium,3,62.8,59.0,66.75,71.25,Defender
Serginho,36,Portugal,190.5,83.0,Normal,GK,20,23,54,17,33,32,25,48,13,12,19,9,10,72,40,9,10,16,13,17,43,66,12,40,23,73,39,43,26,67,67,180000.0,1000.0,1,3,1,Low,0,30.0,21.25,36.25,27.5,Midfielder
N. Ferguson,18,England,154.94,69.9,Normal,CB,55,61,47,32,37,43,33,36,29,28,62,64,65,59,55,35,57,30,30,33,41,68,30,50,63,51,66,46,45,60,75,375000.0,2000.0,1,3,2,Medium,15,39.0,32.5,41.75,62.5,Defender
Matheus,26,Brazil,187.96,76.2,Normal,GK,44,47,45,12,22,27,36,52,12,12,26,20,15,71,32,15,14,13,21,12,21,63,15,19,16,74,48,46,13,78,82,9500000.0,12000.0,1,3,1,High,4,27.0,14.25,36.75,33.0,Midfielder
T. Trybull,25,Germany,154.94,72.1,Lean,"CDM,CM",66,58,69,63,67,71,66,63,35,52,74,74,64,74,82,57,58,56,56,54,61,74,61,80,72,65,70,71,55,72,74,3200000.0,18000.0,1,3,3,Medium,2,62.8,52.75,70.5,71.5,Defender
J. Draxler,25,Germany,187.96,77.1,Lean,"CM,LW,LM,CAM",78,77,80,88,89,84,79,84,78,79,66,64,44,66,69,83,65,84,78,76,86,75,82,48,39,83,75,83,63,83,86,32500000.0,91000.0,3,5,4,High,3,80.6,82.75,79.0,60.0,Attacker
L. James,31,Wales,152.4,73.9,Normal,CM,50,45,71,62,64,65,64,65,55,62,57,59,52,67,75,63,50,50,63,68,68,68,60,61,62,63,74,60,67,65,65,500000.0,4000.0,1,3,2,Low,0,64.4,61.75,67.25,58.75,Midfielder
Guilherme,27,Brazil,175.26,69.9,Stocky,"RM,CAM",90,93,87,76,74,74,65,69,63,66,61,56,55,55,75,68,50,64,59,59,71,83,68,67,38,72,84,75,57,75,75,7000000.0,6000.0,1,3,4,Medium,0,71.4,69.0,70.75,56.75,Midfielder
S. Johnson,29,United States,190.5,98.0,Normal,GK,42,43,44,19,20,34,32,29,12,13,18,15,15,72,35,13,14,17,13,19,23,71,20,30,16,67,52,50,16,70,71,1400000.0,4000.0,1,2,1,Medium,1,25.8,16.75,32.5,30.0,Midfielder
M. Sampirisi,26,Italy,187.96,74.8,Normal,"CB,RB",68,68,65,55,66,65,62,45,31,47,68,73,70,74,73,73,68,42,57,32,50,71,33,72,68,61,67,63,41,70,71,1800000.0,3000.0,1,3,2,Medium,1,53.8,45.75,61.25,71.25,Defender
Pol Lozano,19,Spain,175.26,68.0,Normal,CM,56,64,61,57,64,66,61,65,37,52,31,43,50,48,52,43,38,43,44,38,45,60,44,44,50,53,74,61,49,58,75,260000.0,2000.0,1,3,2,Medium,17,55.4,47.75,61.0,43.0,Midfielder
F. Ben Mustapha,29,Tunisia,193.04,82.1,Stocky,GK,47,47,33,14,21,23,18,53,13,14,21,14,15,64,40,13,16,13,11,11,18,56,13,24,19,61,45,57,21,70,72,1400000.0,14000.0,1,2,1,Medium,2,28.6,14.75,33.5,28.5,Midfielder
C. Elder,24,Australia,154.94,67.1,Lean,LB,73,75,58,63,62,61,59,50,29,55,61,63,63,65,77,58,62,32,54,29,40,72,32,56,60,58,65,45,36,65,72,650000.0,11000.0,1,2,2,Medium,7,56.0,46.75,61.75,63.0,Defender
J. Lewis,21,Northern Ireland,152.4,69.9,Lean,LB,76,82,74,69,68,65,61,54,50,67,68,70,67,62,86,63,52,39,56,40,60,72,44,48,72,58,74,76,38,70,82,2800000.0,10000.0,1,3,3,High,12,64.8,61.5,66.5,66.75,Defender
P. Will,20,Germany,185.42,77.1,Normal,CM,58,62,63,60,59,72,65,57,41,43,55,63,65,68,59,51,58,36,48,49,60,60,42,62,60,56,61,52,48,61,77,525000.0,5000.0,1,3,3,Medium,16,57.8,51.0,63.25,62.75,Midfielder
V. Steels,17,England,170.18,62.1,Lean,LM,72,74,66,59,60,50,45,48,49,51,26,28,27,41,56,54,32,46,50,44,45,44,48,30,33,45,71,54,42,57,70,180000.0,2000.0,1,3,2,Medium,13,52.4,51.0,49.75,30.5,Attacker
M. Kaye,24,Canada,185.42,77.1,Lean,"CM,CAM",71,76,68,68,72,73,67,65,47,57,62,66,56,67,83,63,55,44,42,37,62,65,49,69,57,69,50,55,46,69,76,1500000.0,4000.0,1,3,3,Medium,7,67.2,58.5,72.0,62.75,Midfielder
